REF_DATE;GEO;DGUID;Custodial and community admissions;UOM;UOM_ID;SCALAR_FACTOR;SCALAR_ID;VECTOR;COORDINATE;VALUE;STATUS;SYMBOL;TERMINATED;DECIMALS
2001/2002;Newfoundland and Labrador;2016A000210;Remand;Number;223;units;0;v80747832;2.3;422;;;;0
2001/2002;Newfoundland and Labrador;2016A000210;Other custodial statuses;Number;223;units;0;v80747833;2.4;93;;;;0
2001/2002;Newfoundland and Labrador;2016A000210;Total community admissions;Number;223;units;0;v80747834;2.5;2110;;;;0
2001/2002;Newfoundland and Labrador;2016A000210;Probation and conditional sentences;Number;223;units;0;v80747835;2.6;2110;;;;0
2001/2002;Newfoundland and Labrador;2016A000210;Probation;Number;223;units;0;v80747836;2.7;1789;;;;0
2001/2002;Newfoundland and Labrador;2016A000210;Conditional sentence;Number;223;units;0;v80747837;2.8;321;;;;0
2001/2002;Newfoundland and Labrador;2016A000210;Other community programs;Number;223;units;0;v80747838;2.9;0;;;;0
2001/2002;Newfoundland and Labrador;2016A000210;Unknown community admissions;Number;223;units;0;v80747839;2.10;0;;;;0
2001/2002;Prince Edward Island;2016A000211;Total custodial admissions;Number;223;units;0;v80747841;3.1;828;;;;0
2001/2002;Prince Edward Island;2016A000211;Sentenced;Number;223;units;0;v80747842;3.2;650;;;;0
2001/2002;Prince Edward Island;2016A000211;Remand;Number;223;units;0;v80747843;3.3;178;;;;0
2001/2002;Prince Edward Island;2016A000211;Other custodial statuses;Number;223;units;0;v80747844;3.4;;..;;;0
2001/2002;Prince Edward Island;2016A000211;Total community admissions;Number;223;units;0;v80747845;3.5;849;;;;0
2001/2002;Prince Edward Island;2016A000211;Probation and conditional sentences;Number;223;units;0;v80747846;3.6;603;;;;0
2001/2002;Prince Edward Island;2016A000211;Probation;Number;223;units;0;v80747847;3.7;563;;;;0
2001/2002;Prince Edward Island;2016A000211;Conditional sentence;Number;223;units;0;v80747848;3.8;40;;;;0
2001/2002;Prince Edward Island;2016A000211;Other community programs;Number;223;units;0;v80747849;3.9;246;;;;0
2001/2002;Prince Edward Island;2016A000211;Unknown community admissions;Number;223;units;0;v80747850;3.10;0;;;;0
2001/2002;Nova Scotia;2016A000212;Total custodial admissions;Number;223;units;0;v80747852;4.1;3855;;;;0
2001/2002;Nova Scotia;2016A000212;Sentenced;Number;223;units;0;v80747853;4.2;1507;;;;0
2001/2002;Nova Scotia;2016A000212;Remand;Number;223;units;0;v80747854;4.3;1881;;;;0
2001/2002;Nova Scotia;2016A000212;Other custodial statuses;Number;223;units;0;v80747855;4.4;467;;;;0
2001/2002;Nova Scotia;2016A000212;Total community admissions;Number;223;units;0;v80747856;4.5;5835;;;;0
2001/2002;Nova Scotia;2016A000212;Probation and conditional sentences;Number;223;units;0;v80747857;4.6;4161;;;;0
2001/2002;Nova Scotia;2016A000212;Probation;Number;223;units;0;v80747858;4.7;3547;;;;0
2001/2002;Nova Scotia;2016A000212;Conditional sentence;Number;223;units;0;v80747859;4.8;614;;;;0
2001/2002;Nova Scotia;2016A000212;Other community programs;Number;223;units;0;v80747860;4.9;1674;;;;0
2001/2002;Nova Scotia;2016A000212;Unknown community admissions;Number;223;units;0;v80747861;4.10;0;;;;0
2001/2002;New Brunswick;2016A000213;Total custodial admissions;Number;223;units;0;v80747863;5.1;3466;;;;0
2001/2002;New Brunswick;2016A000213;Sentenced;Number;223;units;0;v80747864;5.2;1555;;;;0
2001/2002;New Brunswick;2016A000213;Remand;Number;223;units;0;v80747865;5.3;1337;;;;0
2001/2002;New Brunswick;2016A000213;Other custodial statuses;Number;223;units;0;v80747866;5.4;574;;;;0
2001/2002;New Brunswick;2016A000213;Total community admissions;Number;223;units;0;v80747867;5.5;4248;;;;0
2001/2002;New Brunswick;2016A000213;Probation and conditional sentences;Number;223;units;0;v80747868;5.6;2497;;;;0
2001/2002;New Brunswick;2016A000213;Probation;Number;223;units;0;v80747869;5.7;1830;;;;0
2001/2002;New Brunswick;2016A000213;Conditional sentence;Number;223;units;0;v80747870;5.8;667;;;;0
2001/2002;New Brunswick;2016A000213;Other community programs;Number;223;units;0;v80747871;5.9;1751;;;;0
2001/2002;New Brunswick;2016A000213;Unknown community admissions;Number;223;units;0;v80747872;5.10;0;;;;0
2001/2002;Quebec;2016A000224;Total custodial admissions;Number;223;units;0;v80747874;6.1;44697;;;;0
2001/2002;Quebec;2016A000224;Sentenced;Number;223;units;0;v80747875;6.2;14372;;;;0
2001/2002;Quebec;2016A000224;Remand;Number;223;units;0;v80747876;6.3;27341;;;;0
2001/2002;Quebec;2016A000224;Other custodial statuses;Number;223;units;0;v80747877;6.4;2984;;;;0
2001/2002;Quebec;2016A000224;Total community admissions;Number;223;units;0;v80747878;6.5;18588;;;;0
2001/2002;Quebec;2016A000224;Probation and conditional sentences;Number;223;units;0;v80747879;6.6;12947;;;;0
2001/2002;Quebec;2016A000224;Probation;Number;223;units;0;v80747880;6.7;8277;;;;0
2001/2002;Quebec;2016A000224;Conditional sentence;Number;223;units;0;v80747881;6.8;4670;;;;0
2001/2002;Quebec;2016A000224;Other community programs;Number;223;units;0;v80747882;6.9;5641;;;;0
2001/2002;Quebec;2016A000224;Unknown community admissions;Number;223;units;0;v80747883;6.10;0;;;;0
