FID;CUST_ORG;BUS_CAT_CL;BUS_CAT_DS;OCCPNT_TYP;SRCDATA_ID;SRC_ID_IND;FCLTY_NM;ADDRESS;MAIL_ADD;ST_ADDRESS;LOCALITY;LATITUDE;LONGITUDE;KEYWORDS;X;Y
30;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1323;N;Lantzville Fire Dept;7580 Superior Rd, Lantzville, BC;7580 Superior Rd, Lantzville, BC;7580 Superior Rd;Lantzville;49.2513973;-124.102519;fire;-124.102535247574;49.2514028364249
31;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1326;N;Stn 257 Maple Ridge;22320 Selkirk Ave, Maple Ridge, BC;22320 Selkirk Ave, Maple Ridge, BC;22320 Selkirk Ave;Maple Ridge;49.2176471;-122.603787;ambulance;-122.603802546832;49.2176527662368
32;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1360;N;Coquitlam Fire Dept Hall 3;428 Nelson St, Coquitlam, BC;428 Nelson St, Coquitlam, BC;428 Nelson St;Coquitlam;49.2479027;-122.865663;fire;-122.865678964432;49.2479083034336
33;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1410;N;Native Liaison Society Community Policing;324 Main St, Vancouver, BC;324 Main St, Vancouver, BC;324 Main St;Vancouver;49.281926;-123.099112;police;-123.099128188728;49.2819316211456
34;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1424;N;Vancouver City Fire Dept Hall 6;1001 Nicola St, Vancouver, BC;1001 Nicola St, Vancouver, BC;1001 Nicola St;Vancouver;49.2865244;-123.134655;fire;-123.134670683517;49.2865300091323
35;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1434;N;Meadowood Fire Hall 2;1800 Galvin Pl, Qualicum Beach, BC;1800 Galvin Pl, Qualicum Beach, BC;1800 Galvin Pl;Qualicum Beach;49.3273608;-124.560367;fire;-124.560382813976;49.3273662286525
36;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1454;N;Park Royal Community Policing;2002 Park Royal South, West Vancouver, BC;2002 Park Royal South, West Vancouver, BC;2002 Park Royal South;West Vancouver;49.3265729;-123.137936;police;-123.137952353428;49.326578516466
37;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1457;N;Stn 255 West Vancouver;1542 Fulton Ave, West Vancouver, BC;1542 Fulton Ave, West Vancouver, BC;1542 Fulton Ave;West Vancouver;49.3314618;-123.157918;ambulance;-123.157933765845;49.3314674358494
38;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1461;N;Lynn Valley Community Policing;1199 Lynn Valley Rd, North Vancouver, BC;1199 Lynn Valley Rd, North Vancouver, BC;1199 Lynn Valley Rd;North Vancouver;49.3344008;-123.039285;police;-123.039300978684;49.3344064503858
39;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1466;N;Edgemont Community Policing;3077 Woodbine Dr, North Vancouver, BC;3077 Woodbine Dr, North Vancouver, BC;3077 Woodbine Dr;North Vancouver;49.3373401;-123.100388;police;-123.100403671957;49.3373457156543
40;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1471;N;Stn 317 Keremeos;716 6th Ave, Keremeos, BC;716 6th Ave, Keremeos, BC;716 6th Ave;Keremeos;49.206172;-119.821886;ambulance;-119.821901588812;49.2061779811916
41;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1474;N;Stn 424 Rossland;1961 Georgia St, Rossland, BC;1961 Georgia St, Rossland, BC;1961 Georgia St;Rossland;49.0762886;-117.792641;ambulance;-117.792655786866;49.0762948315592
42;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1482;N;Bowen Island RCMP;1017 Miller Rd, Bowen Island, BC;1017 Miller Rd, Bowen Island, BC;1017 Miller Rd;Bowen Island;49.3802194;-123.337721;police;-123.337737005349;49.3802249864914
43;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1484;N;Trail Fire Dept Station 4;843 Rossland Ave, Trail, BC;843 Rossland Ave, Trail, BC;843 Rossland Ave;Trail;49.0972054;-117.71697;fire;-117.716985278695;49.0972116106356
44;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1495;N;Beaver Valley Community Policing;1939 Main St, Fruitvale, BC;1939 Main St, Fruitvale, BC;1939 Main St;Fruitvale;49.1152594;-117.544074;police;-117.544089145693;49.1152656558658
45;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1505;N;Canyon-Lister Fire Dept;2850 Lister Rd, Lister, BC;2850 Lister Rd, Lister, BC;2850 Lister Rd;Lister;49.0513406;-116.463428;fire;-116.46344229025;49.0513469156064
46;Ministry of Forest, Lands and Natural Resource Operations and Rural Development - GeoBC;provincialProtectiveServices;Provincial protective services;BC First Responders;1512;N;Sechelt Fire Dept;5525 Trail Ave, Sechelt, BC;5525 Trail Ave, Sechelt, BC;5525 Trail Ave;Sechelt;49.4731021;-123.759419;fire;-123.75943523157;49.4731076263166
